temp,dwpt,rhum,prcp,wspd,top5_count,manufacturer
23.3,16.6,66.0,0.0,5.4,1,Toyota
27.2,20.1,65.0,0.0,7.6,1,Toyota
21.7,14.4,63.0,0.0,5.4,2,Toyota
38.1,-3.7,7.0,0.0,7.6,2,Toyota
23.3,13.2,53.0,0.0,5.4,0,Toyota
26.1,18.3,62.0,0.0,0.0,2,Toyota
2.8,0.5,85.0,0.0,13.0,3,Toyota
13.3,10.7,84.0,0.2,5.4,3,Toyota
16.7,10.1,65.0,0.0,0.0,1,Toyota
19.6,14.6,73.0,0.0,0.0,2,Toyota
14.4,-2.1,32.0,0.0,5.4,2,Toyota
28.0,5.6,24.0,0.0,0.0,2,Toyota
19.5,14.7,74.0,0.0,14.8,2,Toyota
20.0,15.6,76.0,0.0,16.6,1,Toyota
11.0,11.0,100.0,6.1,9.0,3,Toyota
21.1,5.0,35.0,0.0,16.6,1,Toyota
26.0,-0.9,17.0,0.0,28.0,1,Toyota
24.0,17.0,65.0,0.0,24.1,2,Toyota
18.3,18.3,100.0,5.3,9.4,3,Toyota
27.0,20.1,66.0,0.0,0.0,2,Toyota
21.0,18.9,88.0,3.6,16.6,0,Toyota
26.0,24.0,89.0,0.0,5.4,1,Toyota
28.5,21.3,65.0,0.0,7.6,3,Toyota
27.4,22.8,76.0,0.0,14.8,0,Toyota
23.7,22.0,90.0,0.0,0.0,2,Toyota
21.1,12.3,57.0,0.0,0.0,2,Toyota
21.7,18.9,84.0,0.0,9.4,3,Toyota
26.7,20.5,69.0,0.0,0.0,2,Toyota
28.3,17.8,53.0,0.0,5.4,3,Toyota
33.3,20.5,47.0,0.0,25.9,1,Toyota
31.7,18.0,44.0,0.0,0.0,2,Toyota
27.2,14.9,47.0,0.0,7.6,1,Toyota
25.6,10.6,39.0,0.0,5.4,1,Toyota
26.1,15.5,52.0,0.0,13.0,2,Toyota
25.6,23.8,90.0,0.0,11.2,1,Toyota
18.3,5.2,42.0,0.0,7.6,2,Toyota
16.7,12.2,75.0,0.0,16.6,2,Toyota
29.4,24.9,77.0,0.0,9.4,1,Toyota
25.0,17.2,62.0,0.0,9.4,1,Toyota
24.4,20.1,77.0,0.0,13.0,3,Toyota
36.4,-4.9,7.0,0.0,11.2,1,Toyota
15.4,9.1,66.0,0.0,0.0,1,Toyota
19.0,19.0,100.0,0.0,0.0,1,Toyota
18.9,0.9,30.0,0.0,13.0,3,Toyota
14.4,4.9,53.0,0.0,11.2,1,Toyota
5.8,4.8,93.0,0.0,0.0,1,Toyota
19.0,0.1,28.0,0.0,22.0,2,Toyota
21.1,18.9,87.0,0.0,5.4,1,Toyota
11.7,6.2,69.0,0.0,24.1,0,Toyota
26.0,20.1,70.0,0.0,16.6,1,Toyota
25.0,-15.1,6.0,0.0,24.1,3,Toyota
17.0,-0.7,30.0,0.0,17.0,0,Toyota
10.0,-6.8,30.0,0.0,9.4,0,Toyota
10.9,-0.6,45.0,0.0,21.2,1,Toyota
14.2,14.2,100.0,0.3,0.0,2,Toyota
15.6,4.3,47.0,0.0,5.4,0,Toyota
17.6,17.4,99.0,1.8,12.2,2,Toyota
22.8,8.9,41.0,0.0,37.1,2,Toyota
22.2,7.2,38.0,0.0,7.6,2,Toyota
12.8,-6.3,26.0,0.0,14.8,3,Toyota
26.1,20.0,69.0,0.0,11.2,2,Toyota
21.0,15.1,69.0,0.1,11.2,1,Toyota
29.0,10.2,31.0,0.0,13.0,3,Toyota
26.1,20.0,69.0,0.0,7.6,0,Toyota
19.4,10.7,57.0,0.0,9.4,1,Toyota
22.2,19.9,87.0,0.0,14.8,1,Toyota
30.0,18.4,50.0,0.0,16.6,2,Toyota
28.0,21.1,66.0,0.0,5.4,3,Toyota
22.2,17.1,73.0,0.0,7.6,0,Toyota
21.7,20.0,90.0,0.0,0.0,1,Toyota
25.6,14.4,50.0,0.0,13.0,3,Toyota
