dirt track,paved track,road course,temp,dwpt,rhum,prcp,wspd,miles_completed,Chevrolet_fieldcount,Ford_fieldcount,Toyota_fieldcount,top5_count,manufacturer
0,1,0,13.9,1.8,44.0,0.0,5.4,501.0,17,14,12,2,Toyota
0,1,0,28.3,-0.8,15.0,0.0,5.4,400.5,17,14,12,3,Toyota
0,1,0,25.1,21.0,78.0,0.0,16.6,304.5,17,13,13,1,Toyota
0,1,0,18.3,13.4,73.0,0.0,13.0,500.0,22,12,9,1,Toyota
0,1,0,16.0,14.0,88.0,0.3,18.4,500.08,21,13,9,3,Toyota
0,1,0,22.1,-6.7,14.0,0.0,13.0,400.5,23,11,9,0,Toyota
0,1,0,20.0,9.0,49.0,0.0,16.6,400.0,23,11,9,3,Toyota
0,1,0,16.7,15.1,90.0,0.0,13.0,400.0,22,12,9,1,Toyota
0,1,0,11.0,10.1,94.0,0.3,25.9,400.0,23,12,8,0,Toyota
0,0,1,21.0,8.9,46.0,0.0,13.0,218.9,23,11,9,0,Toyota
0,1,0,13.3,9.9,80.0,0.0,13.0,400.5,22,10,10,2,Toyota
0,1,0,22.8,7.4,37.0,0.0,7.6,280.0,21,13,9,1,Toyota
0,1,0,21.7,6.8,38.0,0.0,11.2,322.69,22,10,11,2,Toyota
0,1,0,22.0,11.1,50.0,0.0,0.0,312.0,20,12,11,0,Toyota
0,1,0,11.1,8.3,83.0,0.2,22.3,400.0,22,13,8,3,Toyota
0,1,0,22.2,9.4,44.0,0.0,5.4,400.0,23,10,10,1,Toyota
0,0,1,22.2,8.0,40.0,0.0,7.6,220.50000000000003,22,12,9,0,Toyota
0,1,0,21.7,12.3,55.0,0.0,27.7,400.0,23,11,9,0,Toyota
0,1,0,25.6,21.7,79.0,0.0,7.6,266.5,23,11,9,1,Toyota
0,1,0,22.8,21.1,90.0,1.3,13.0,515.9,23,11,9,2,Toyota
0,1,0,25.6,16.7,58.0,0.0,9.4,300.0,23,10,10,1,Toyota
0,1,0,26.7,22.1,76.0,1.0,11.2,400.5,23,11,9,0,Toyota
0,1,0,20.6,16.0,75.0,0.0,9.4,320.574,22,11,10,0,Toyota
0,1,0,22.2,14.3,61.0,0.0,9.4,400.0,24,10,9,1,Toyota
0,1,0,24.4,18.3,69.0,0.0,7.6,400.5,21,12,10,0,Toyota
0,1,0,28.0,22.0,70.0,0.0,0.0,501.0,22,12,9,1,Toyota
0,1,0,29.4,23.8,72.0,0.0,9.4,516.0400000000001,20,13,10,2,Toyota
0,1,0,11.2,5.9,70.0,0.0,5.4,263.0,23,10,10,0,Toyota
0,1,0,17.8,12.9,73.0,0.0,14.8,511.5,22,12,9,1,Toyota
0,1,0,6.1,-0.6,62.0,0.0,14.8,312.0,23,11,9,2,Toyota
0,1,0,13.3,-1.9,35.0,0.0,9.4,400.5,22,12,9,0,Toyota
0,1,0,22.0,18.0,78.0,0.0,0.0,268.099,22,11,10,0,Toyota
0,1,0,19.4,10.1,55.0,0.0,11.2,412.0,22,11,10,2,Toyota
0,1,0,16.7,5.3,47.0,0.0,5.4,263.0,22,11,10,0,Toyota
0,1,0,12.8,-2.3,35.0,0.0,14.8,510.0,21,14,8,2,Toyota
0,1,0,29.2,1.6,17.0,0.0,0.0,510.884,22,11,10,1,Toyota
0,1,0,23.1,19.7,81.0,0.0,9.4,300.0,23,11,9,2,Toyota
0,1,0,17.2,11.0,67.0,0.0,0.0,507.5,21,13,9,1,Toyota
0,1,0,11.0,2.0,54.0,0.0,9.4,500.08,22,13,8,0,Toyota
0,1,0,23.3,-5.7,14.0,0.0,22.3,400.5,21,13,9,0,Toyota
0,1,0,29.4,0.1,15.0,0.0,0.0,600.0,22,13,8,2,Toyota
0,1,0,26.1,7.7,31.0,0.0,13.0,405.0,22,12,9,0,Toyota
0,1,0,2.3,-12.7,32.0,0.0,9.4,400.0,22,12,9,0,Toyota
0,1,0,19.4,7.8,47.0,0.0,11.2,276.0,21,13,9,1,Toyota
0,1,0,6.7,3.8,82.0,1.0,7.6,402.5,22,12,9,1,Toyota
0,1,0,24.2,7.8,35.0,0.0,9.4,400.5,22,12,9,4,Toyota
0,1,0,21.1,15.6,71.0,0.0,9.4,318.458,21,13,9,1,Toyota
0,1,0,24.0,5.8,31.0,0.0,0.0,500.5,22,13,8,1,Toyota
0,1,0,20.6,2.9,31.0,0.0,16.6,410.0,22,13,8,2,Toyota
0,1,0,18.3,5.2,42.0,0.0,16.6,400.0,22,12,9,1,Toyota
0,0,1,21.1,19.4,90.0,0.0,16.6,220.50000000000003,22,12,9,2,Toyota
0,1,0,24.0,14.1,54.0,0.0,22.3,400.0,22,12,9,2,Toyota
0,1,0,23.9,22.2,90.0,0.3,7.6,266.5,21,14,8,2,Toyota
0,1,0,23.9,21.8,88.0,1.5,7.6,501.32200000000006,22,12,9,2,Toyota
0,1,0,23.3,20.6,85.0,0.0,5.4,300.0,21,13,9,2,Toyota
0,1,0,28.3,21.1,65.0,0.0,11.2,400.5,22,12,9,3,Toyota
